1	1	6	1	9	8	1	1	1	6	1	0
9	6	1	1	2	8	3	7	4	9	9	1
5	1	5	6	3	7	0	5	8	9	8	9
9	1	2	1	8	3	3	9	1	5	2	3
5	5	1	1	6	2	2	2	3	8	0	8
7	0	3	7	1	3	7	1	5	9	4	5
5	7	4	6	4	6	0	9	4	3	1	0
5	5	2	0	5	4	8	2	7	2	2	8
7	9	1	2	0	5	7	7	3	1	4	9
8	6	1	4	9	2	4	6	9	9	6	5
3	4	9	2	8	1	1	6	2	2	8	3
0	8	0	5	9	6	4	9	4	5	3	3
9	0	1	9	1	7	6	4	4	5	7	2
9	0	0	1	4	1	6	4	9	9	9	0
7	4	2	2	1	7	7	1	7	9	0	8
6	8	5	2	3	4	5	4	6	7	6	0

8	4	7	9	5	6	0	3	2	4	7	4
1	4	7	1	5	9	1	4	7	6	6	2
2	3	7	8	1	5	1	9	1	8	9	7
6	1	2	9	5	9	5	6	5	2	9	3
1	1	7	0	9	3	2	2	9	1	2	0
6	5	1	8	3	0	7	0	3	9	1	8
0	6	7	5	0	6	8	3	9	7	3	9
3	7	3	2	9	7	2	5	3	3	5	8
6	2	8	9	1	1	0	1	7	9	9	9
5	9	2	7	7	7	6	0	5	9	2	4
6	6	1	1	9	9	0	5	1	0	7	5
2	7	8	1	6	9	1	3	9	5	0	8

time: 0.000014

129	151	160	190	187	146	132	99	175	214	138	170
282	323	245	306	340	352	165	166	247	320	290	330
306	326	294	358	355	386	164	206	305	357	324	391
185	231	237	213	291	268	120	145	228	212	202	241
151	220	247	188	241	264	113	105	268	243	156	213
235	259	248	328	234	321	178	158	265	297	261	306
203	204	224	262	263	276	127	177	218	254	275	253
164	233	311	229	214	273	133	138	315	290	212	309
195	287	300	234	269	364	140	184	298	290	248	341
280	318	360	325	388	407	162	195	379	344	340	350
166	209	250	189	289	304	81	218	214	205	272	244
183	255	259	216	329	324	176	165	326	272	241	282
278	257	221	344	271	327	185	175	238	271	295	319
253	263	247	289	278	292	130	133	245	267	281	295
225	288	299	328	224	300	187	126	316	372	225	346
224	265	277	294	269	327	147	184	262	319	308	302
